"","id","ic50_np","mse_np","auc_np","ic50_mf","mse_mf","auc_mf","ic50_sf","mse_sf","auc_sf","ic50_npb","mse_npb","auc_npb"
"1","5FU_P1_T1_1",0.803113162176318,85.5469868388462,2076.24283198863,3.03478986535664,123.267043608292,2065.82363690567,1.06744574417045,129.548218621461,2076.86156301651,0.295358946498769,13096.9925745,1898.95208903568
"2","5FU_P1_T1_2",1.95621038189075,107.709838454779,1988.71856105268,2.07701356848985,121.530339978296,1988.16881846509,1.71287791491707,122.711986584283,1992.70522830673,0.261252571378653,11646.4893808432,1907.03484779393
"3","5FU_P1_T1_3",0.185106755664239,18.4126118076,772.822543774832,0.190645387466803,19.1732773270781,771.849650190196,0.0106363305215413,42.763336913657,787.679871910424,0.312814211770636,3896.22754937685,710.024867496699
"4","5FU_P1_T1_4",7.27830353862298,42.1390690603156,1317.37355514108,6.96765171838248,58.0203970137239,1310.40710924286,53.2119522131615,103.166741918819,1311.51456782107,0.508581714315214,6919.89191468513,1279.40468069434
"5","5FU_P1_T2_1",0.249701916430141,17.1109318874128,246.442622229405,0.249701916430141,17.9219312323578,246.435472806528,0.204806717815289,25.0121923633898,251.34402241337,0.332926438461643,2789.74406666475,324.729002150302
"6","5FU_P1_T2_2",0.765053428669152,257.728812067931,1178.45164655557,0.792078855298156,273.871195513258,1175.99647248273,0.833011232858634,289.019483333677,1187.45230892345,0.431195640026326,6495.53652080242,1197.19389225587
"7","5FU_P1_T2_3",0.183389789427054,6.99243912837247,615.304589479616,0.186548807543845,8.10585134562271,614.516117145494,0.0102653614452232,27.4637261351486,622.654113387306,0.310895443937233,3064.50260951144,613.161645154687
"8","5FU_P1_T2_4",1.08754120174894,66.7964484234458,1422.41865315105,1.25061465212984,72.6286330721531,1424.35220765839,1.02774313637955,75.2726825121942,1429.9884011653,0.331168775474421,7566.65977623558,1389.91145515502
"9","5FU_P1_T2_5",7.22988959323608,30.1401615616831,1023.13271536712,7.68685241483553,35.8904898120113,1021.62205562245,190.539802706635,69.863950767043,985.83159964068,1.05814754639974,5585.81901322279,974.168282173603
"10","5FU_P1_T3_1",13.5106364359411,111.290766230628,1406.40905001574,13.4019571709516,113.622286880013,1401.83043844425,220.18043120565,151.539176468757,1348.53156388991,0.717772714208967,7263.3333017179,1353.37977670405
"11","5FU_P1_T3_2",5.78674233715827,13.304191100072,1351.42172683229,5.50581511585644,23.4407735950715,1350.10391472024,160.813041109903,34.8396839563379,1333.94183769007,1.1207073697097,8492.53579364728,1343.93687563468
"12","5FU_P1_T3_3",2.64322685397326,245.761487733197,1382.08165419148,2.65840012180541,250.461174798699,1385.03757804518,2.7031188724596,250.905317494477,1384.96665005257,0.550170381043751,7284.11619981128,1393.22474769473
"13","5FU_P1_T3_5",1.48668408101285,98.1131040969023,1212.32949411617,1.62214710209095,106.905657068172,1217.4137510156,2.15044307480526,118.715628862428,1219.14428787435,0.823934748230594,7716.15218222312,1258.83254865975
"14","5FU_P1_T4_2",8.32211015467922,67.7768044254509,1435.77639837809,8.89567070426768,79.1817700833174,1429.61554715487,73.6250629775424,91.3085707527567,1434.18031813021,4.51600249620905,8962.26518340019,1415.26346525647
"15","5FU_P1_T4_3",11.3077623109616,25.2322072101832,1089.47207231929,11.488491683017,36.0648225615884,1081.50465348141,38.6893861508138,90.7533978824067,1104.17868615036,4.89890361988613,6419.75708212957,1057.32408608785
"16","5FU_P1_T4_4",1.40823804877448,21.6733491676816,863.535782093763,1.50564196161789,30.8873078818778,862.871109592068,1.50625218342521,35.5939815591516,859.5478464181,1.28523869319909,6671.86480681518,911.769218830701
"17","5FU_P1_T4_5",0.842628160156937,75.666531423963,1340.65930453317,0.865901588461554,87.0243149289371,1321.43616008661,0.883445531704199,89.5728463332046,1319.66824552546,0.402252761387911,7647.05712689062,1320.75775106092
"18","5FU_P2_T1_1",7.32154100176934,49.3463171609835,1053.86662543266,7.49507478881759,52.9975924848646,1053.22252988838,14.3850650228152,55.100023976268,1042.75895137799,5.0348546897699,7356.08770578063,1045.10077507177
"19","5FU_P2_T1_3",0.200344978562783,85.8710475500455,1653.72567013351,0.196389363101478,111.42870293589,1638.77147996438,0.194308526638489,112.345925085653,1647.61578292649,0.279972868970464,8755.12000678684,1531.15935631476
"20","5FU_P2_T1_4",0.114215935001051,95.5117634203728,1743.02631800497,0.103988350413591,125.472708368021,1731.17141942074,0.126106808150179,128.276067004006,1742.24083377104,0.299713586142214,8709.46923313352,1635.87343564249
"21","5FU_P2_T1_5",0.926040184737505,59.5893555924094,1632.90333232079,1.15640585386485,72.0936826092144,1637.91761352965,1.27376029895403,75.1703258521109,1643.67060716032,0.476688498155405,9166.8516738142,1592.5500035411
"22","5FU_P2_T2_1",0.1891980026261,52.2796480360236,2087.86184743551,0.191039539294671,87.736476701539,2012.12714780539,18.4761989425372,98.9751979232721,2040.33334292376,0.249379144687015,11059.6956333904,1944.91659711935
"23","5FU_P2_T2_2",9.55473279928079,35.2115243333372,1474.75173313108,9.55327851925,39.8604714571476,1471.29930909816,57.7723624817595,45.1979075953348,1472.65399651694,0.539889099960649,6766.64249118208,1429.19284877344
"24","5FU_P2_T2_3",0.0896357356275156,38.5182733183342,1611.38103950637,0.0799947854987485,50.1303395341461,1596.1780803368,0.0105737731048875,55.5425634089537,1602.64328156044,0.355571469594689,7792.33591457561,1477.79194672309
