"","id","ic50_np","mse_np","auc_np","ic50_mf","mse_mf","auc_mf","ic50_sf","mse_sf","auc_sf","ic50_npb","mse_npb","auc_npb","lambda"
"38","5FU_P3_T1_5",3.82655548186089,84.3806573577751,855.151544119404,4.22980278479146,147.938852798983,839.53515609683,4.13920381291259,163.881859191552,823.657170692297,4.03481409161762,278.124025914318,874.081890417161,5
"39","5FU_P3_T2_1",6.16025608556409,12.8099884625541,1571.12144772896,7.73958878196408,16.0996438001422,1570.48958932946,73.905441617036,18.036060722249,1564.91740565139,4.04647197255497,20.0029619453194,1553.07828170168,5
"40","5FU_P3_T2_2",9.58243714303868,56.2664756277498,1706.72313955405,10.1839067997993,62.9436905588274,1698.8262451664,11.1647689795633,65.2257426639581,1698.09255569772,2.76870867053001,105.011440301093,1667.59798669693,5
"41","5FU_P3_T2_3",10.4424160245899,70.4329418676567,1730.12085685339,10.4453720687622,85.5869376291549,1722.69630434232,11.8750448549044,90.0895893946576,1728.84169986182,2.88433777708917,165.020115680075,1649.53399001546,5
"42","5FU_P3_T2_4",12.821797684613,62.1517950211383,2065.61349238157,13.4528013079846,102.71906753534,2005.43350814786,5350457.0673754,163.955525095876,2141.81655560748,2.97701225202677,217.682024732607,1964.11171873687,5
"43","5FU_P3_T2_5",10.1854887942563,138.92253882886,1865.47445948222,13.9187986773521,169.86658038458,1815.93235956118,11.3988481664166,208.565315750231,1927.82069767578,2.52716116904435,591.424041306517,1579.23618949436,5
"44","5FU_P3_T3_1",11.62304998647,36.0134342831861,1627.62208492158,12.2087827850713,38.9477747765081,1625.06294665208,35.1763919948513,40.0908566932534,1626.06122455998,4.87573478648903,56.5582173713201,1620.57492287723,5
"45","5FU_P3_T3_2",10.6803053523992,49.1013040607075,1670.04684910548,11.8060401937232,69.7658488658707,1655.60666259028,13.6471646466124,71.0400838292494,1648.34147573943,5.21509747165482,162.717595036099,1677.20026984534,2
"46","5FU_P3_T3_3",11.3184699982232,22.2596060803871,1558.15328976915,11.7332685152974,25.912872923707,1552.43904476798,12.036680530478,26.6413436666248,1546.2506713001,11.3350536757987,44.9991866507551,1531.78737108997,5
"47","5FU_P3_T3_4",14.880500941828,33.5890076475256,2066.32977940381,17.1100682086394,58.5629322942561,2014.25015838461,0.125804122400799,48.9036225966585,2094.23179100999,1.9352232106045,126.407265476874,1951.84701558068,2
"48","5FU_P3_T3_5",15.731216526113,187.329305988833,2514.6881608341,17.5,413.744430525671,2310.0752034197,0.266524821752328,271.973524709702,2554.19965884028,2.55492718804572,1555.84864052559,1967.20617489204,5
"49","5FU_P3_T4_1",3.20667587507257,17.6085540611958,1210.60105131289,3.08428633812478,21.170273551773,1209.55089265581,99.6646552055614,31.6772811130403,1207.95426975906,3.88024241701135,46.35321766687,1225.26758471496,5
